This list contains all games supported by FB Alpha.

6006 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					|
| superten	|  	| Super Ten V8.3					| 		| 1988	| U.S. Games	| Miscellaneous	| 					|
| usg83x	|  	| Super Ten V8.3X					| superten	| 1988	| U.S. Games	| Miscellaneous	| 					|
| suprtrio	|  	| Super Trio						| 		| 1994	| Gameace	| Miscellaneous	| 					|
| striv		| D NW	| Super Triv (English questions)			| 		| 1985	| Nova du Canada| Jack the Giant| resets after displaying the first ques|
| strivf	| D	| Super Triv (French questions)				| striv		| 1985	| Nova du Canada| Jack the Giant| bad sound				|
| strvmstr	|  	| Super Trivia Master					| 		| 1986	| Enerdyne Techn| Miscellaneous	| 					|
| svolly91	|  	| Super Volley '91 (Japan)				| pspikes	| 1991	| Video System C| V-System	| 					|
| svolley	|  	| Super Volleyball (Japan)				| 		| 1989	| V-System Co.	| Miscellaneous	| 					|
| svolleyk	|  	| Super Volleyball (Korea)				| svolley	| 1989	| V-System Co.	| Miscellaneous	| 					|
| svolleyu	|  	| Super Volleyball (US)					| svolley	| 1989	| V-System Co. (| Miscellaneous	| 					|
| sws92		|  	| Super World Stadium '92 (Japan)			| 		| 1992	| Namco		| System 2	| 					|
| sws92g	|  	| Super World Stadium '92 Gekitouban (Japan)		| sws92		| 1992	| Namco		| System 2	| 					|
| sws93		|  	| Super World Stadium '93 (Japan)			| 		| 1993	| Namco		| System 2	| 					|
| sws		|  	| Super World Stadium (Japan)				| 		| 1992	| Namco		| System 2	| 					|
| szaxxon	|  	| Super Zaxxon						| 		| 1982	| Sega		| Zaxxon	| 					|
| superxm	|  	| Super-X (Mitchell)					| superx	| 1994	| Dooyong (Mitch| Miscellaneous	| 					|
| superx	|  	| Super-X (NTC)						| 		| 1994	| Dooyong (NTC l| Miscellaneous	| 					|
| 1942h		|  	| Supercharger 1942					| 1942		| 1991	| hack (Two Bit | Miscellaneous	| 					|
| ssoldier	|  	| Superior Soldiers (US)				| 		| 1993	| Irem America	| Irem M92	| 					|
| supermanj	|  	| Superman (Japan)					| superman	| 1988	| Taito Corporat| Taito X	| 					|
| supermanu	|  	| Superman (US)						| superman	| 1988	| Taito Corporat| Taito X	| 					|
| superman	|  	| Superman (World)					| 		| 1988	| Taito Corporat| Taito X	| 					|
| suratka	|  	| Surprise Attack (Asia ver. L)				| suratk	| 1990	| Konami	| GX911		| 					|
| suratkj	|  	| Surprise Attack (Japan ver. M)			| suratk	| 1990	| Konami	| GX911		| 					|
| suratk	|  	| Surprise Attack (World ver. K)			| 		| 1990	| Konami	| GX911		| 					|
| survartsj	|  	| Survival Arts (Japan)					| survarts	| 1993	| Sammy		| SSV		| 					|
| survartsu	|  	| Survival Arts (USA)					| survarts	| 1993	| American Sammy| SSV		| 					|
| survarts	|  	| Survival Arts (World)					| 		| 1993	| Sammy		| SSV		| 					|
| gogomile	|  	| Susume! Mile Smile / Go Go! Mile Smile (newer)	| 		| 1995	| Fuuki		| Miscellaneous	| 					|
| gogomileo	|  	| Susume! Mile Smile / Go Go! Mile Smile (older)	| gogomile	| 1995	| Fuuki		| Miscellaneous	| 					|
| suzuka8hj	| D NW	| Suzuka 8 Hours (Japan, Rev B)				| suzuka8h	| 1992	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| suzuka8h	| D NW	| Suzuka 8 Hours (World, Rev C)				| 		| 1992	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| suzuk8h2j	| D NW	| Suzuka 8 Hours 2 (Japan, Rev B)			| suzuk8h2	| 1993	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| suzuk8h2	| D NW	| Suzuka 8 Hours 2 (World, Rev B)			| 		| 1993	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| swarm		|  	| Swarm (bootleg?)					| galaxian	| 1979	| Sebelectro	| Galaxian	| 					|
| swat		|  	| SWAT (315-5048)					| 		| 1984	| Coreland / Seg| System 1	| 					|
| swatpolc	|  	| SWAT Police						| 		| 2001	| ESD		| Miscellaneous	| 					|
| csweetht	|  	| Sweet Heart (DECO Cassette) (US)			| cdiscon1	| 1982	| Data East Corp| Cassette Syste| 					|
| swimmer	|  	| Swimmer (set 1)					| 		| 1982	| Tehkan	| Miscellaneous	| 					|
| moshougi	|  	| Syougi No Tatsujin - Master of Shougi			| 		| 1995	| ADK / SNK	| Neo Geo MVS	| 					|
| ssozumo	|  	| Syusse Oozumou (Japan)				| 		| 1984	| Technos Japan	| Miscellaneous	| 					|
| syvalion	|  	| Syvalion (Japan)					| 		| 1988	| Taito Corporat| Taito H System| 					|
| syvalionu	|  	| Syvalion (US, PS2 Taito Legends 2)			| syvalion	| 1988	| Taito America | Taito H System| 					|
| syvalionp	|  	| Syvalion (World, prototype)				| syvalion	| 1988	| Taito Corporat| Taito H System| 					|
| syvalionw	|  	| Syvalion (World, PS2 Taito Legends 2)			| syvalion	| 1988	| Taito Corporat| Taito H System| 					|
| tnk3j		|  	| T.A.N.K (Japan)					| tnk3		| 1985	| SNK		| Miscellaneous	| 					|
| tnk3		|  	| T.N.K III (US)					| 		| 1985	| SNK		| Miscellaneous	| 					|
| defenderj	|  	| T.T Defender						| defender	| 1980	| Williams (Tait| 6809 System	| 					|
| ttfitter	|  	| T.T Fitter (Japan)					| roundup	| 1981	| Taito Corporat| Miscellaneous	| 					|
| ttmahjng	|  	| T.T Mahjong						| jongpute	| 1980	| Taito		| Route 16	| 					|
| tacscan	|  	| Tac/Scan						| 		| 1982	| Sega		| G80 Vector	| 					|
| tactcian	|  	| Tactician (set 1)					| 		| 1982	| Konami (Sega l| Miscellaneous	| 					|
| tactcian2	|  	| Tactician (set 2)					| tactcian	| 1981	| Konami (Sega l| Miscellaneous	| 					|
| tagteam	|  	| Tag Team Wrestling					| bigprowr	| 1983	| Technos Japan | Miscellaneous	| 					|
| tail2nos	|  	| Tail to Nose - Great Championship			| 		| 1989	| V-System Co.	| Miscellaneous	| 					|
| hotgmck	|  	| Taisen Hot Gimmick (Japan)				| 		| 1997	| Psikyo	| PS4		| 					|
| hotgmck3	|  	| Taisen Hot Gimmick 3 Digital Surfing (Japan)		| 		| 1999	| Psikyo	| PS4		| 					|
| hotgm4ev	|  	| Taisen Hot Gimmick 4 Ever (Japan)			| 		| 2000	| Psikyo	| PS4		| 					|
| hgkairak	|  	| Taisen Hot Gimmick Kairakuten (Japan)			| 		| 1998	| Psikyo	| PS4		| 					|
| karatevs	|  	| Taisen Karate Dou (Japan VS version)			| kchamp	| 1984	| Data East Corp| Miscellaneous	| 					|
| cupfinal	|  	| Taito Cup Finals (Ver 1.0O 1993/02/28)		| 		| 1993	| Taito Corporat| Taito F3 Syste| 					|
| pwrgoal	|  	| Taito Power Goal (Ver 2.5O 1994/11/03)		| 		| 1994	| Taito Corporat| Taito F3 Syste| 					|
| tshingena	|  	| Takeda Shingen (Japan, Japanese)			| tshingen	| 1988	| Jaleco	| Mega System 1	| 					|
| tangtang	|  	| Tang Tang (ver. 0526, 26/05/2000)			| 		| 2000	| ESD		| Miscellaneous	| 					|
| tankbust	|  	| Tank Busters						| 		| 1985	| Valadon Automa| Miscellaneous	| Graphics and stuck sprite issues	|
| tankfrcej	|  	| Tank Force (Japan)					| tankfrce	| 1991	| Namco		| System 1	| 					|
| tankfrce	|  	| Tank Force (US, 2 Players)				| 		| 1991	| Namco		| System 1	| 					|
| tankfrce4	|  	| Tank Force (US, 4 Players)				| tankfrce	| 1991	| Namco		| System 1	| 					|
| taotaido	|  	| Tao Taido (set 1)					| 		| 1993	| Video System C| Miscellaneous	| 					|
| taotaidoa	|  	| Tao Taido (set 2)					| taotaido	| 1993	| Video System C| Miscellaneous	| 					|
| tapperg	|  	| Tapper (Budweiser, 1/27/84 - Alternate graphics)	| tapper	| 1983	| Bally Midway	| Miscellaneous	| 					|
| tapper	|  	| Tapper (Budweiser, 1/27/84)				| 		| 1983	| Bally Midway	| Miscellaneous	| 					|
| tappera	|  	| Tapper (Budweiser, 12/9/83)				| tapper	| 1983	| Bally Midway	| Miscellaneous	| 					|
| tapperb	|  	| Tapper (Budweiser, Date Unknown)			| tapper	| 1983	| Bally Midway	| Miscellaneous	| 					|
| rbtapper	|  	| Tapper (Root Beer)					| tapper	| 1984	| Bally Midway	| Miscellaneous	| 					|
| sutapper	|  	| Tapper (Suntory)					| tapper	| 1983	| Bally Midway	| Miscellaneous	| 					|
| targeth10	|  	| Target Hits (ver 1.0, Checksum FBCB)			| targeth	| 1994	| Gaelco	| Miscellaneous	| 					|
| targeth	|  	| Target Hits (ver 1.1, Checksum 5152)			| 		| 1994	| Gaelco	| Miscellaneous	| 					|
| targetha	|  	| Target Hits (ver 1.1, Checksum 86E1)			| targeth	| 1994	| Gaelco	| Miscellaneous	| 					|
| tharrier	|  	| Task Force Harrier					| 		| 1989	| UPL		| NMK16		| 					|
| tharrieru	|  	| Task Force Harrier (US?)				| tharrier	| 1989	| UPL (American | NMK16		| 					|
| joemac	|  	| Tatakae Genshizin Joe & Mac (Japan ver 1)		| cninja	| 1991	| Data East Corp| DECO IC16	| 					|
| bigfghtr	|  	| Tatakae! Big Fighter (Japan)				| skyrobo	| 1989	| Nichibutsu	| Miscellaneous	| 					|
| trojanj	|  	| Tatakai no Banka (Japan)				| trojan	| 1986	| Capcom	| Miscellaneous	| 					|
| tattassa	|  	| Tattoo Assassins (Asia prototype)			| tattass	| 1994	| Data East Pinb| DECO 32	| 					|
| tattass	|  	| Tattoo Assassins (US prototype)			| 		| 1994	| Data East Pinb| DECO 32	| 					|
| tazzmang2	|  	| Tazz-Mania (bootleg on Galaxian hardware with Starfiel| tazmania	| 1982	| bootleg	| Galaxian	| 					|
| tazzmang	|  	| Tazz-Mania (bootleg on Galaxian hardware)		| tazmania	| 1982	| bootleg	| Galaxian	| 					|
| tazmania	|  	| Tazz-Mania (set 1)					| 		| 1982	| Stern		| Galaxian	| 					|
| tazmani2	|  	| Tazz-Mania (set 2)					| tazmania	| 1982	| Stern		| Galaxian	| 					|
| tbowlj	|  	| Tecmo Bowl (Japan)					| tbowl		| 1987	| Tecmo		| hardware	| 					|
| tbowlp	|  	| Tecmo Bowl (World, prototype?)			| tbowl		| 1987	| Tecmo		| hardware	| 					|
| tbowl		|  	| Tecmo Bowl (World, set 1)				| 		| 1987	| Tecmo		| hardware	| 					|
| tbowla	|  	| Tecmo Bowl (World, set 2)				| tbowl		| 1987	| Tecmo		| hardware	| 					|
| tknight	|  	| Tecmo Knight						| wildfang	| 1989	| Tecmo		| Miscellaneous	| 					|
| twsoc96	|  	| Tecmo World Soccer '96				| 		| 1996	| Tecmo		| Neo Geo MVS	| 					|
| teddybb	|  	| TeddyBoy Blues (315-5115, New Ver.)			| 		| 1985	| Sega		| System 1	| 					|
| teddybbo	|  	| TeddyBoy Blues (315-5115, Old Ver.)			| teddybb	| 1985	| Sega		| System 1	| 					|
| teddybbobl	|  	| TeddyBoy Blues (bootleg)				| teddybb	| 1985	| bootleg	| System 1	| 					|
| tmht2pa	|  	| Teenage Mutant Hero Turtles (UK 2 Players, version ?)	| tmnt		| 1989	| Konami	| GX963		| 					|
| tmht2p	|  	| Teenage Mutant Hero Turtles (UK 2 Players, version U)	| tmnt		| 1989	| Konami	| GX963		| 					|
| tmhtb		|  	| Teenage Mutant Hero Turtles (UK 4 Players, version ?)	| tmnt		| 1989	| Konami	| GX963		| 					|
| tmht		|  	| Teenage Mutant Hero Turtles (UK 4 Players, version F)	| tmnt		| 1989	| Konami	| GX963		| 					|
| tmhta		|  	| Teenage Mutant Hero Turtles (UK 4 Players, version S)	| tmnt		| 1989	| Konami	| GX963		| 					|
| tmht22pe	|  	| Teenage Mutant Hero Turtles - Turtles in Time (2 Playe| tmnt2		| 1991	| Konami	| GX063		| 					|
| tmht24pe	|  	| Teenage Mutant Hero Turtles - Turtles in Time (4 Playe| tmnt2		| 1991	| Konami	| GX063		| 					|
| tmnta		|  	| Teenage Mutant Ninja Turtles (Asia 4 Players, version | tmnt		| 1990	| Konami	| GX963		| 					|
| tmnti		|  	| Teenage Mutant Ninja Turtles (Intro demo)		| 		| 2009	| Sergi		| Neo Geo MVS	| You must use the Universe BIOS and set|
| tmntia	|  	| Teenage Mutant Ninja Turtles (Intro demo, alt)	| tmnti		| 2009	| Sergi		| Neo Geo MVS	| You must use the Universe BIOS and set|
| tmnt2pj	|  	| Teenage Mutant Ninja Turtles (Japan 2 Players, version| tmnt		| 1990	| Konami	| GX963		| 					|
| tmntj		|  	| Teenage Mutant Ninja Turtles (Japan 4 Players, version| tmnt		| 1990	| Konami	| GX963		| 					|
| tmnt2po	|  	| Teenage Mutant Ninja Turtles (Oceania 2 Players, versi| tmnt		| 1989	| Konami	| GX963		| 					|
| tmntub	|  	| Teenage Mutant Ninja Turtles (US 4 Players, version H)| tmnt		| 1989	| Konami	| GX963		| 					|
| tmntua	|  	| Teenage Mutant Ninja Turtles (US 4 Players, version J)| tmnt		| 1989	| Konami	| GX963		| 					|
| tmntu		|  	| Teenage Mutant Ninja Turtles (US 4 Players, version R)| tmnt		| 1989	| Konami	| GX963		| 					|
| tmnt		|  	| Teenage Mutant Ninja Turtles (World 4 Players, version| 		| 1989	| Konami	| GX963		| 					|
| tmnt22pu	|  	| Teenage Mutant Ninja Turtles - Turtles in Time (2 Play| tmnt2		| 1991	| Konami	| GX063		| 					|
| tmnt2a	|  	| Teenage Mutant Ninja Turtles - Turtles in Time (4 Play| tmnt2		| 1991	| Konami	| GX063		| 					|
| tmnt2		|  	| Teenage Mutant Ninja Turtles - Turtles in Time (4 Play| 		| 1991	| Konami	| GX063		| 					|
| tekipaki	|  	| Teki Paki						| 		| 1991	| Toaplan	| Toaplan GP9001| 					|
| tekipakit	|  	| Teki Paki (location test)				| tekipaki	| 1991	| Toaplan	| Toaplan GP9001| 					|
| teljan	|  	| Tel Jan						| 		| 1999	| Electro Design| Super Kaneko N| 					|
| tempest1	|  	| Tempest (rev 1)					| tempest	| 1980	| Atari		| Miscellaneous	| 					|
| tempest1r	|  	| Tempest (rev 1, Revised Hardware)			| tempest	| 1980	| Atari		| Miscellaneous	| 					|
| tempest2	|  	| Tempest (rev 2)					| tempest	| 1980	| Atari		| Miscellaneous	| 					|
| tempest3	|  	| Tempest (rev 3)					| tempest	| 1980	| Atari		| Miscellaneous	| 					|
| tempest	|  	| Tempest (rev 3, Revised Hardware)			| 		| 1980	| Atari		| Miscellaneous	| 					|
| temptube	|  	| Tempest Tubes						| tempest	| 1980	| hack (Duncan B| Miscellaneous	| 					|
| dynwarjr	|  	| Tenchi wo Kurau (Japan Resale Ver.)			| dynwar	| 1989	| Capcom	| CPS1		| 					|
| dynwarj	|  	| Tenchi wo Kurau (Japan)				| dynwar	| 1989	| Capcom	| CPS1		| 					|
| wofj		|  	| Tenchi wo Kurau II - Sekiheki no Tatakai (921031 Japan| wof		| 1992	| Capcom	| CPS1 / QSound	| 					|
| wofch		|  	| Tenchi wo Kurau II - Sekiheki no Tatakai (CPS Changer,| 		| 1992	| Capcom	| CPS Changer	| 					|
| wofjh		|  	| Tenchi wo Kurau II - Sekiheki no Tatakai (hack, 921031| wof		| 1992	| hack		| CPS1 / QSound	| 					|
| tengai	|  	| Tengai (world)					| 		| 1996	| Psikyo	| Psikyo 68EC020| 					|
| tengaij	|  	| Tengai\0Sengoku Blade - sengoku ace episode II	| tengai	| 1996	| Psikyo	| Psikyo 68EC020| 					|
| terracren	|  	| Terra Cresta (YM2203)					| terracre	| 1985	| Nichibutsu	| Miscellaneous	| 					|
| terracre	|  	| Terra Cresta (YM3526 set 1)				| 		| 1985	| Nichibutsu	| Miscellaneous	| 					|
| terracreo	|  	| Terra Cresta (YM3526 set 2)				| terracre	| 1985	| Nichibutsu	| Miscellaneous	| 					|
| terracrea	|  	| Terra Cresta (YM3526 set 3)				| terracre	| 1985	| Nichibutsu	| Miscellaneous	| 					|
| terraf	|  	| Terra Force						| 		| 1987	| Nichibutsu	| Miscellaneous	| 					|
| terrafj	|  	| Terra Force (Japan)					| terraf	| 1987	| Nichibutsu Jap| Miscellaneous	| 					|
| terrafb	|  	| Terra Force (Japan, bootleg set 2)			| terraf	| 1987	| bootleg	| Miscellaneous	| imperfect graphics			|
| terrafjb	|  	| Terra Force (Japan, bootleg with additional Z80)	| terraf	| 1987	| bootleg	| Miscellaneous	| imperfect graphics			|
| terrafu	|  	| Terra Force (US)					| terraf	| 1987	| Nichibutsu USA| Miscellaneous	| 					|
| cterrani	|  	| Terranean (DECO Cassette) (US)			| 		| 1981	| Data East Corp| Cassette Syste| 					|
| ctsttape	|  	| Test Tape (DECO Cassette) (US)			| 		| 1981	| Data East Corp| Cassette Syste| 					|
| atetrisb	|  	| Tetris (bootleg set 1)				| atetris	| 1988	| bootleg	| Miscellaneous	| 					|
| atetrisb2	|  	| Tetris (bootleg set 2)				| atetris	| 1988	| bootleg	| Miscellaneous	| 					|
| tetrisbl	|  	| Tetris (bootleg)					| tetris	| 1988	| bootleg	| System 16B	| 					|
| atetrisc	|  	| Tetris (cocktail set 1)				| atetris	| 1989	| Atari Games	| Miscellaneous	| 					|
| atetrisc2	|  	| Tetris (cocktail set 2)				| atetris	| 1989	| Atari Games	| Miscellaneous	| 					|
| tetrsark	|  	| Tetris (D.R. Korea)					| 		| 198?	| D.R. Korea	| Arkanoid	| Wrong colors				|
| tetrista	|  	| Tetris (Japan, B-System, YM2203)			| tetris	| 1989	| Sega		| Taito B System| 					|
| tetrist	|  	| Tetris (Japan, B-System, YM2610)			| tetris	| 1989	| Sega		| Taito B System| buggy - use parent!			|
| tetrisse	|  	| Tetris (Japan, System E)				| 		| 1988	| Sega		| System E	| 					|
| tetristh	|  	| Tetris (Japan, Taito H-System)			| tetris	| 1988	| Sega		| Taito H System| 					|
| atetris	|  	| Tetris (set 1)					| 		| 1988	| Atari Games	| Miscellaneous	| 					|
| tetris1d	|  	| Tetris (set 1, Japan, System 16B, FD1094 317-0091 decr| tetris	| 1988	| Sega		| System 16B	| 					|
| tetris1	|  	| Tetris (set 1, Japan, System 16B, FD1094 317-0091)	| tetris	| 1988	| Sega		| System 16B	| 					|
| atetrisa	|  	| Tetris (set 2)					| atetris	| 1988	| Atari Games	| Miscellaneous	| 					|
| tetris2d	|  	| Tetris (set 2, Japan, System 16B, FD1094 317-0092 decr| tetris	| 1988	| Sega		| System 16B	| 					|
| tetris2	|  	| Tetris (set 2, Japan, System 16B, FD1094 317-0092)	| tetris	| 1988	| Sega		| System 16B	| 					|
| tetris3d	|  	| Tetris (set 3, Japan, System 16A, FD1094 317-0093a dec| tetris	| 1988	| Sega		| System 16A	| 					|
| tetris3	|  	| Tetris (set 3, Japan, System 16A, FD1094 317-0093a)	| tetris	| 1988	| Sega		| System 16A	| 					|
| tetrisd	|  	| Tetris (set 4, Japan, System 16A, FD1094 317-0093 decr| tetris	| 1988	| Sega		| System 16A	| 					|
| tetris	|  	| Tetris (set 4, Japan, System 16A, FD1094 317-0093)	| 		| 1988	| Sega		| System 16A	| 					|
| tetrbx	|  	| Tetris / Bloxeed (Korean System 16 bootleg) (ISG Selec| 		| 2006	| ISG		| ISG Selection | 					|
| tetrisp2ja	|  	| Tetris Plus 2 (Japan, V2.1)				| tetrisp2	| 1997	| Jaleco / The T| Miscellaneous	| 					|
| tetrisp2j	|  	| Tetris Plus 2 (Japan, V2.2)				| tetrisp2	| 1997	| Jaleco / The T| Miscellaneous	| 					|
| tetrisp2	|  	| Tetris Plus 2 (World)					| 		| 1997	| Jaleco / The T| Miscellaneous	| 					|
| tgm2		|  	| Tetris the Absolute The Grand Master 2		| 		| 2000	| Arika		| PS5V2		| 					|
| tgm2p		|  	| Tetris the Absolute The Grand Master 2 Plus		| tgm2		| 2000	| Arika		| PS5V2		| 					|
| thoop2	|  	| TH Strikes Back (Non North America, Version 1.0, Check| 		| 1994	| Gaelco	| Miscellaneous	| 					|
| thoop2a	|  	| TH Strikes Back (Non North America, Version 1.0, Check| thoop2	| 1994	| Gaelco	| Miscellaneous	| 					|
| alphaxz	|  	| The Alphax Z (Japan)					| m660		| 1986	| Ed Co. Ltd. (W| Miscellaneous	| 					|
| mrflea	|  	| The Amazing Adventures of Mr. F. Lea			| 		| 1982	| Pacific Novelt| Miscellaneous	| 					|
| anteateruk	|  	| The Anteater (UK)					| anteater	| 1983	| Free Enterpris| Galaxian	| 					|
| astyanax	|  	| The Astyanax						| 		| 1989	| Jaleco	| Mega System 1	| 					|
| battroad	|  	| The Battle-Road					| 		| 1984	| Irem		| Irem M62	| 					|
| berlwall	|  	| The Berlin Wall					| 		| 1991	| Kaneko	| Kaneko16	| 					|
| berlwallt	|  	| The Berlin Wall (bootleg ?)				| berlwall	| 1991	| Kaneko	| Kaneko16	| 					|
| berlwallk	|  	| The Berlin Wall (Korea)				| berlwall	| 1991	| Kaneko (Inter | Kaneko16	| 					|
| bigprowr	|  	| The Big Pro Wrestling!				| 		| 1983	| Technos Japan	| Miscellaneous	| 					|
| billiard	|  	| The Billiards						| hustler	| 1981	| bootleg	| Galaxian	| 					|
| bounty	|  	| The Bounty						| 		| 1982	| Orca		| Miscellaneous	| 					|
| bounty2	|  	| The Bounty (set 2)					| bounty	| 1982	| Orca		| Miscellaneous	| 					|
| edrandyj	|  	| The Cliffhanger - Edward Randy (Japan ver 3)		| edrandy	| 1990	| Data East Corp| DECO IC16	| 					|
| edrandy1	|  	| The Cliffhanger - Edward Randy (World ver 1)		| edrandy	| 1990	| Data East Corp| DECO IC16	| 					|
| edrandy2	|  	| The Cliffhanger - Edward Randy (World ver 2)		| edrandy	| 1990	| Data East Corp| DECO IC16	| 					|
| edrandy	|  	| The Cliffhanger - Edward Randy (World ver 3)		| 		| 1990	| Data East Corp| DECO IC16	| 					|
| ctribeb	|  	| The Combatribes (bootleg set 1)			| ctribe	| 1990	| bootleg	| Miscellaneous	| 					|
| ctribeb2	|  	| The Combatribes (bootleg set 2)			| ctribe	| 1990	| bootleg	| Miscellaneous	| 					|
| ctribej	|  	| The Combatribes (Japan)				| ctribe	| 1990	| Technos Japan	| Miscellaneous	| 					|
| ctribeu1	|  	| The Combatribes (US , rev 1)				| ctribe	| 1990	| Technos Japan	| Miscellaneous	| 					|
| ctribe	|  	| The Combatribes (US, rev 2, set 1)			| 		| 1990	| Technos Japan	| Miscellaneous	| 					|
| ctribeua	|  	| The Combatribes (US, rev 2, set 2)			| ctribe	| 1990	| Technos Japan	| Miscellaneous	| 					|
| dealer	|  	| The Dealer						| 		| 198?	| Epos Corporati| EPOS Tristar	| Incorrect Colors			|
| thedeep	|  	| The Deep (Japan)					| 		| 1987	| Wood Place Inc| Miscellaneous	| 					|
| dbldynj	|  	| The Double Dynamites (Japan, 13NOV89)			| 		| 1989	| Seibu Kaihatsu| Miscellaneous	| 					|
| dbldynu	|  	| The Double Dynamites (US, 13NOV89)			| dbldynj	| 1989	| Seibu Kaihatsu| Miscellaneous	| 					|
| elecyoyo	|  	| The Electric Yo-Yo (set 1)				| 		| 1982	| Taito America | Miscellaneous	| 					|
| elecyoyo2	|  	| The Electric Yo-Yo (set 2)				| elecyoyo	| 1982	| Taito America | Miscellaneous	| 					|
| esb		|  	| The Empire Strikes Back				| 		| 1985	| Atari Games	| Miscellaneous	| 					|
| theend	|  	| The End						| 		| 1980	| Konami	| Galaxian	| 					|
| theends	|  	| The End (Stern)					| theend	| 1980	| Konami (Stern | Galaxian	| 					|
| flstory	|  	| The FairyLand Story					| 		| 1985	| Taito		| Miscellaneous	| 					|
| flstoryj	|  	| The FairyLand Story (Japan)				| flstory	| 1985	| Taito		| Miscellaneous	| 					|
